reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
53375,ALEXIUS,/individus/53375-alexius,13,366,356,1,1,1
15631,ANDREAS Fouet,/individus/15631-andreasfouet,11,335,325,1,1,0
16401,ANTHONIUS Benet,/individus/16401-anthoniusbenet,13,296,286,1,1,0
516,ALEXANDER de Remis,/individus/516-alexanderderemis,16,541,525,1,1,1
724,ANDREAS Conradi de Hagen,/individus/724-andreasconradidehagen,17,477,461,1,1,0
51676,ADAM Villard,/individus/51676-adamvillard,14,453,439,1,1,1
18763,ALBERTUS Ricardi,/individus/18763-albertusricardi,10,464,458,1,1,1
51054,AGNES Neslier,/individus/51054-agnesneslier,11,605,593,1,1,1
55651,ALBERTUS de Placencia,/individus/55651-albertusdeplacencia,13,490,480,1,1,0
16264,ANDREAS Hirci,/individus/16264-andreashirci,17,495,478,1,1,0
16459,AEGIDIUS Dulhoet,/individus/16459-aegidiusdulhoet,13,576,566,1,1,0
54119,ADAM de Alemante,/individus/54119-adamdealemante,23,612,580,1,1,0
331,ALARDUS de Lune,/individus/331-alardusdelune,30,1191,1162,1,1,0
409,ALBERTUS de Kalbe,/individus/409-albertusdekalbe,13,357,347,1,1,0
1023,ARNALDUS de Skendremale,/individus/1023-arnaldusdeskendremale,14,468,454,1,1,0
15585,ALANUS Dreulin,/individus/15585-alanusdreulin,19,778,758,1,1,0
25491,ANDREAS Bloyer,/individus/25491-andreasbloyer,17,810,784,1,1,1
769,ANSELMUS de Insulla,/individus/769-anselmusdeinsulla,10,264,258,1,1,0
60706,ARNALDUS Logerii,/individus/60706-arnalduslogerii,22,681,649,1,1,0
64,ADAM d'Arras,/individus/64-adamd'arras,24,623,599,1,1,1
530,AMALRICUS 1,/individus/530-amalricus1,12,308,300,1,1,0
15637,ANDREAS Leidet,/individus/15637-andreasleidet,15,533,517,1,1,0
60485,ARNO Gevaldi,/individus/60485-arnogevaldi,18,851,823,1,1,1
15843,ADAM Baquellarii,/individus/15843-adambaquellarii,17,546,529,1,1,0
16472,ALANUS Menguidi,/individus/16472-alanusmenguidi,14,363,350,1,1,0
97,ADAM de Paris 3,/individus/97-adamdeparis3,20,548,538,1,1,1
16351,ANTHONIUS de Novo Castro,/individus/16351-anthoniusdenovocastro,16,585,571,1,1,1
15679,ANTHONIUS Gasiliani,/individus/15679-anthoniusgasiliani,19,799,777,1,1,0
3140,AEGIDIUS de Sancto Dionysio 2,/individus/3140-aegidiusdesanctodionysio2,17,566,548,1,1,0
16241,ALANUS Rubeus,/individus/16241-alanusrubeus,12,285,277,1,1,0
50875,AEGIDIUS Romanus,/individus/50875-aegidiusromanus,3632,317822,312431,1,1,1
56573,ANTHONIUS de Langiaco,/individus/56573-anthoniusdelangiaco,22,707,683,1,1,0
55883,ANTHONIUS Huyard,/individus/55883-anthoniushuyard,18,452,442,1,1,0
1003,ARNALDUS de Dorp,/individus/1003-arnaldusdedorp,18,462,444,1,1,0
914,ARNALDUS de Uden,/individus/914-arnaldusdeuden,30,998,966,1,1,1
20486,AGMUNDUS,/individus/20486-agmundus,18,814,782,1,1,1
16343,ANTHONIUS Messonis,/individus/16343-anthoniusmessonis,15,439,425,1,1,0
957,ARNALDUS Guilhelmi,/individus/957-arnaldusguilhelmi,14,360,350,1,1,0
58960,ADAM Fremin,/individus/58960-adamfremin,15,408,398,1,1,0
774,ANTHONIUS Boerii,/individus/774-anthoniusboerii,39,1313,1263,1,1,0
17185,AEGIDIUS de Bisseuil,/individus/17185-aegidiusdebisseuil,15,641,624,1,1,1
59800,AEGIDIUS Pelerine,/individus/59800-aegidiuspelerine,13,326,318,1,1,0
381,ALBERTUS Hovesche,/individus/381-albertushovesche,11,321,311,1,1,0
15667,ANTHONIUS de Brunellis,/individus/15667-anthoniusdebrunellis,15,596,582,1,1,0
617,ANDREAS Berguier,/individus/617-andreasberguier,21,827,807,1,1,0
55737,AEGIDIUS Hune,/individus/55737-aegidiushune,12,461,451,1,1,1
16168,AEGIDIUS de Brye,/individus/16168-aegidiusdebrye,14,335,323,1,1,0
3105,AEGIDIUS Dambries,/individus/3105-aegidiusdambries,16,562,550,1,1,1
937,ARNALDUS Beverem de Embeke,/individus/937-arnaldusbeveremdeembeke,22,867,846,1,1,0
16473,ALANUS Gouriob,/individus/16473-alanusgouriob,16,605,595,1,1,0
17149,AEGIDIUS de Pratis,/individus/17149-aegidiusdepratis,10,302,294,1,1,1
809,ANTHONIUS Alemant,/individus/809-anthoniusalemant,11,249,245,1,1,0
308,ALANUS de Mordinc,/individus/308-alanusdemordinc,9,262,253,1,1,1
564,AMBLARDUS de Murolio,/individus/564-amblardusdemurolio,41,1360,1300,1,1,1
223,AEGIDIUS de Marla,/individus/223-aegidiusdemarla,17,469,453,1,1,0
53850,ANTHONIUS de Stagno,/individus/53850-anthoniusdestagno,20,505,485,1,1,0
58405,ANCELLUS de Garlandia 1,/individus/58405-ancellusdegarlandia1,16,449,431,1,1,1
495,ALEXANDER Bur I,/individus/495-alexanderburi,29,883,849,1,1,1
57636,ADAM de Saint-Leu,/individus/57636-adamdesaint-leu,14,421,409,1,1,0
16214,ALANUS 8,/individus/16214-alanus8,11,302,298,1,1,0
60195,ARNALDUS de Spina,/individus/60195-arnaldusdespina,28,917,881,1,1,1
3114,AEGIDIUS de Aurelianis 2,/individus/3114-aegidiusdeaurelianis2,122,4188,4065,1,1,1
16187,ACHILLES de Druiaco,/individus/16187-achillesdedruiaco,22,752,728,1,1,0
446,ALEXANDER Cullan,/individus/446-alexandercullan,20,582,560,1,1,1
22046,ANDREAS de Francomonte,/individus/22046-andreasdefrancomonte,14,356,346,1,1,0
436,ALEXANDER Scotus 3,/individus/436-alexanderscotus3,14,598,586,1,1,0
99,ADAM de Pontisara,/individus/99-adamdepontisara,12,391,381,1,1,0
403,ALBERTUS Wedebech de Misena,/individus/403-albertuswedebechdemisena,27,854,820,1,1,0
16298,ANTHONIUS Chaboti,/individus/16298-anthoniuschaboti,10,179,171,1,1,0
55329,ANCELLUS,/individus/55329-ancellus,17,555,539,1,1,1
16259,ANDREAS Blanchoti,/individus/16259-andreasblanchoti,16,455,439,1,1,0
344,ALBERICUS Muldat,/individus/344-albericusmuldat,13,522,508,1,1,1
15629,ANDREAS Favet,/individus/15629-andreasfavet,13,389,378,1,1,0
54500,ARNULPHUS Vivien,/individus/54500-arnulphusvivien,12,277,269,1,1,0
58016,AEGIDIUS de Bridport,/individus/58016-aegidiusdebridport,21,929,909,1,1,1
57118,ANTHONIUS Peligneus,/individus/57118-anthoniuspeligneus,28,1260,1230,1,1,1
72,ADAM de Brana,/individus/72-adamdebrana,17,454,444,1,1,1
60296,ANTHONIUS de Bridieu,/individus/60296-anthoniusdebridieu,14,439,429,1,1,0
294,ALANUS Potier,/individus/294-alanuspotier,25,1531,1503,1,1,1
13166,ANTHONIUS Ursi,/individus/13166-anthoniusursi,42,3336,3267,1,1,1
86,ADAM de Guire,/individus/86-adamdeguire,11,275,267,1,1,0
16438,ANTHONIUS de Treufles,/individus/16438-anthoniusdetreufles,13,361,351,1,1,0
